day_index,publish_date,guide_id,board,pin_title,destination_url,image_path
1,2026-03-27,ch-01,Burnout Recovery Printables,Hyperarousal: Still On Alert - When Your Brain Won't Stop Scanning for Danger,https://www.etsy.com/listing/4477712159?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/ch-01/image-1.png
2,2026-03-27,ch-03,Burnout Recovery Printables,On Guard in Your Own Home: Dealing With Hypervigilance,https://www.etsy.com/listing/4477718612?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/ch-03/image-1.png
3,2026-03-27,ch-04,Burnout Recovery Printables,Anger and Short-Fuse Days,https://www.etsy.com/listing/4477712209?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/ch-04/image-1.png
4,2026-03-27,ch-06,Burnout Recovery Printables,Depression and Numbness,https://www.etsy.com/listing/4477718652?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/ch-06/image-1.png
